10
 1.000000    -0.000000
 0.975000    0.016492
 0.950000    0.031431
 0.925000    0.044909
 0.900001    0.057013
 0.875003    0.067829
 0.850006    0.077439
 0.825013    0.085920
 0.800026    0.093348
 0.775047    0.099793
 0.750080    0.105325
 0.725129    0.110008
 0.700199    0.113904
 0.675297    0.117073
 0.650430    0.119570
 0.625608    0.121447
 0.600839    0.122755
 0.576136    0.123540
 0.551512    0.123845
 0.526981    0.123712
 0.502560    0.123178
 0.478267    0.122278
 0.454123    0.121045
 0.430149    0.119508
 0.406370    0.117693
 0.382813    0.115625
 0.359505    0.113325
 0.336479    0.110811
 0.313768    0.108099
 0.291409    0.105204
 0.269440    0.102134
 0.247903    0.098900
 0.226844    0.095507
 0.206308    0.091958
 0.186348    0.088254
 0.167017    0.084395
 0.148373    0.080375
 0.130475    0.076190
 0.113388    0.071831
 0.097179    0.067288
 0.081920    0.062547
 0.067685    0.057595
 0.054553    0.052413
 0.042607    0.046983
 0.031933    0.041284
 0.022623    0.035293
 0.014770    0.028984
 0.008476    0.022330
 0.003843    0.015302
 0.000980    0.007870
 0.000000    0.000000
 0.000980    -0.007799
 0.003843    -0.014102
 0.008476    -0.019059
 0.014770    -0.022815
 0.022623    -0.025503
 0.031933    -0.027250
 0.042607    -0.028176
 0.054553    -0.028390
 0.067685    -0.027996
 0.081920    -0.027091
 0.097179    -0.025764
 0.113388    -0.024097
 0.130475    -0.022165
 0.148373    -0.020037
 0.167017    -0.017778
 0.186348    -0.015442
 0.206308    -0.013082
 0.226844    -0.010742
 0.247903    -0.008463
 0.269440    -0.006278
 0.291409    -0.004219
 0.313768    -0.002309
 0.336479    -0.000569
 0.359505    0.000986
 0.382813    0.002344
 0.406370    0.003497
 0.430149    0.004441
 0.454123    0.005177
 0.478267    0.005707
 0.502560    0.006038
 0.526981    0.006180
 0.551512    0.006143
 0.576136    0.005944
 0.600839    0.005598
 0.625608    0.005125
 0.650430    0.004546
 0.675297    0.003885
 0.700199    0.003164
 0.725129    0.002411
 0.750080    0.001651
 0.775047    0.000913
 0.800026    0.000225
 0.825013    -0.000385
 0.850006    -0.000886
 0.875003    -0.001250
 0.900001    -0.001447
 0.925000    -0.001448
 0.950000    -0.001226
 0.975000    -0.000752
 1.000000    0.000000
